danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,songName,duration_min
0.49939246658566216,0.5096045197740113,9,1,0.5499530209240269,0.24150493472016463,0,0.5815400042436023,0.23012376756870145,0.4648748702427556,4s7QLoImIwmPi9L6dq1nVW,TSU,0.4945812055705446
0.6597812879708385,0.5231638418079095,4,1,0.043973770493222354,0.47985883093240345,0,0.19692140447486245,0.6916299559471365,0.33959503232987737,7f1w2rZoIf7g56McEUTh5W,Jail pt 2,0.4807631676071284
0.36573511543134873,0.5220338983050847,4,1,0.11208903338885481,0.5667255842186416,0,0.19193951550466287,0.5867421858611285,0.33977012644296317,42ZrMq4BKsWDrrbMnMRYaK,Jail,0.4807631676071284
0.7715674362089916,0.496045197740113,4,1,0.09212894385456477,0.0830260775052716,0,0.329492979341052,0.17872876022655756,0.3403454356716736,3SYLoL8KHxdQPYIkfwmUjN,Remote Control,0.3432629509213004
0.5321992709599028,0.6180790960451977,7,1,0.3311569592628013,0.1567568827335908,0,0.6528482459676404,0.40843297671491496,0.27597333566792154,73uxnSsFMeJ15POpd3zgrV,Believe What I Say,0.4099720681293569
0.49331713244228426,0.6271186440677966,9,1,0.2006257706361406,0.35485545425220705,0,0.19254119366379918,0.6937277113488566,0.6956801780957265,4ZtFanR9U6ndgddUvNcjcG,good 4 u,0.3080994531204783
0.8080194410692588,0.6531073446327684,1,1,0.15326568159895934,0.022431220334871337,0,0.2923270780853119,0.171386616320537,0.43976137173730884,7BxOnIN2GIDEss4Eg3weRL,Racks to the Ceiling,0.29059574787922776
0.6731470230862697,0.5672316384180791,1,1,0.4384127917685734,0.0060642527949642715,0,0.4135325193656904,0.12313824208097332,0.4906449716722738,7Bpx2vsWfQFBACRz4h3IqH,family ties (with Kendrick Lamar),0.4233966601565376
0.6464155528554071,0.6621468926553672,11,1,0.030142966284599372,0.02010064890524056,0,0.2618314245620522,0.34864694776589045,0.1211338594494541,55sgQENF3LY1sUcJUwasLl,Don’t Go (with Justin Bieber & Don Toliver),0.2900019785937507
0.8323207776427703,0.4666666666666667,7,1,0.11761732854643672,0.31036272695925576,0,0.2342671271421795,0.2710299979022445,0.48342859286866685,1ayV64ur8VWgc6OPtPRl1q,Options (feat. JID),0.2726640245248925
0.669501822600243,0.3706214689265537,10,0,0.09010427829735346,0.19913090872687772,0,0.21710317120154138,0.3843087895951332,0.2399664819840665,4CGORuRtjSK6xMy8s1VvSS,The Mission,0.3313309743851573
0.5565006075334143,0.4135593220338982,8,0,0.007545554686408634,0.1429853242857726,0,0.4183708852399542,0.368575624082232,0.4521367735157648,6413UUgINHbZsCJeJBFlmT,I'm Just Snacking,0.34244253995549273
0.5042527339003645,0.8056497175141243,11,0,0.4784832543594735,0.21925857107368898,0,0.5519570520283454,0.46717012796307944,0.24471278312092754,7dltD9eEX7X1zk8JJ9BS0e,Superstar (feat. Matthew Santos),0.4710972447281631
0.8639125151883353,0.5977401129943503,2,1,0.07900333433831291,0.15463818143392646,0,0.20859384689855537,0.4535347178518984,0.439930212489213,0xUvi7wldroBzaZCengPa5,24 (feat. Lil Baby),0.3164521274968037
0.6622114216281896,0.6214689265536724,4,0,0.16523114707941208,0.31883753215791316,0,0.397511380763857,0.8563037549821689,0.14983678727315936,1otG6j1WHNvl9WgXLWkHTo,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",0.35759931502177406
